,代码,名称,fluc_today,流通市值Z,fluc_10day,fluc_20day,细分行业
2,600675,中华企业,-10.07,65.3,22.95,21.36,住宅开发
3,002423,中粮资本,-4.19,56.87,19.76,18.0,金融控股
7,603529,爱玛科技,-0.33,60.35,5.97,6.47,摩托车
13,600864,哈投股份,-0.61,70.86,6.88,14.36,证券
25,600284,浦东建设,-3.47,44.26,17.35,14.02,基建工程
28,600088,中视传媒,5.73,43.38,92.25,62.91,影视制作
50,600597,光明乳业,5.54,58.46,3.91,0.23,乳制品
51,600737,中粮糖业,5.5,90.94,5.89,1.89,制糖业
78,000059,华锦股份,3.74,44.64,2.33,-8.82,炼油化工
82,000676,智度股份,3.54,64.64,-17.01,-21.1,互联网广告
94,000727,冠捷科技,3.15,54.76,-1.29,-11.59,面板
101,601608,中信重工,2.97,54.11,1.87,-2.56,能源及重型设备
102,000935,四川双马,2.94,39.65,-2.38,-6.72,水泥制造
105,688318,财富趋势,2.89,43.34,-4.11,-13.87,行业应用软件
107,002335,科华数据,2.74,65.21,-12.08,-16.68,云基础设施服务
114,603871,嘉友国际,2.57,49.34,-0.68,13.76,跨境物流
119,000415,渤海租赁,2.48,66.61,4.02,-3.27,租赁
121,300039,上海凯宝,2.46,36.58,-3.64,-13.63,中药
