,代码,名称,fluc_today,流通市值Z,fluc_10day,fluc_20day,细分行业
0,603019,中科曙光,2.1,563.08,48.73,44.35,其他IT设备
3,002317,众生药业,0.0,103.87,33.11,19.29,中药
11,002673,西部证券,-2.94,179.87,18.19,24.59,证券
12,000628,高新发展,0.15,110.98,89.03,47.3,房屋建设
19,000063,中兴通讯,-0.73,833.9,17.41,13.16,系统设备
24,601127,赛力斯,0.01,586.19,23.12,34.77,综合乘用车
66,601901,方正证券,3.44,305.6,12.26,1.76,证券
82,688012,中微公司,2.69,575.89,14.66,3.79,半导体设备
100,600895,张江高科,2.21,141.01,10.12,4.22,产业地产
105,300308,中际旭创,2.13,926.37,22.78,34.57,网络接配及塔设
117,688072,拓荆科技,1.9,175.02,6.3,12.41,半导体设备
119,600183,生益科技,1.77,190.82,13.41,5.24,PCB
120,002371,北方华创,1.75,702.3,6.78,5.5,半导体设备
