,代码,名称,fluc_today,流通市值Z,fluc_10day,fluc_20day,细分行业
0,600212,绿能慧充,0.92,28.63,-9.16,-7.48,输变电设备
4,002789,建艺集团,0.0,9.93,2.77,-2.56,装修装饰
6,603778,国晟科技,0.0,21.36,-5.58,-17.06,园林工程
8,600679,上海凤凰,-9.98,14.26,21.18,10.56,其他交通设备
9,002333,罗普斯金,3.95,11.19,-4.86,4.91,其他建材
10,603767,中马传动,-2.78,13.55,-0.08,-14.7,底盘与发动机系统
12,603825,华扬联众,-0.82,15.21,3.81,-6.44,互联网广告
14,600354,敦煌种业,0.0,23.64,5.55,-2.56,种子
15,603721,中广天择,0.79,17.26,7.13,-0.48,影视制作
16,002173,创新医疗,0.0,22.45,2.37,-4.76,医院
18,001376,百通能源,4.21,10.84,19.15,5.23,热力服务
19,000899,赣能股份,5.96,23.63,11.49,5.7,火力发电
20,002703,浙江世宝,0.0,32.43,0.16,-4.28,底盘与发动机系统
22,002523,天桥起重,2.37,34.42,8.49,23.22,工程机械整机
23,600119,长江投资,2.4,21.96,68.95,60.17,跨境物流
26,600629,华建集团,0.15,29.18,35.7,25.24,工程咨询服务
27,002116,中国海诚,-1.27,28.03,42.28,33.08,其他专业工程
29,000037,深南电A,10.04,24.79,34.23,43.4,火力发电
31,605136,丽人丽妆,10.04,15.34,0.33,-6.78,电商服务
33,603666,亿嘉和,10.02,26.38,-5.25,-21.23,机器人
34,430198,微创光电,9.89,6.39,21.33,6.29,安防设备
35,600551,时代出版,8.43,16.61,3.58,-9.7,大众出版
36,002552,宝鼎科技,8.37,17.53,1.32,-2.74,PCB
37,605001,威奥股份,7.77,11.34,-4.99,-9.9,轨交设备
39,603897,长城科技,6.24,14.64,-11.21,-17.85,线缆部件及其他
41,002663,普邦股份,6.1,19.87,-10.31,-5.44,园林工程
42,301032,新柴股份,6.09,7.04,-9.07,-14.87,内燃机
44,688246,嘉和美康,6.03,18.07,-12.83,-25.9,行业应用软件
46,002481,双塔食品,5.91,29.36,-0.46,-2.71,其他农产品加工
47,300478,杭州高新,5.89,8.91,-9.39,-16.86,改性塑料
48,688155,先惠技术,5.75,13.43,5.37,-2.07,其他专用设备
52,300262,巴安水务,5.43,11.78,-8.11,-18.81,水务
53,688257,新锐股份,5.26,21.23,-7.49,-11.65,金属制品
54,000548,湖南投资,5.11,18.08,-0.56,-5.64,高速公路
55,300513,恒实科技,5.1,24.77,-7.47,-19.93,行业应用软件
57,300817,双飞集团,5.03,8.45,-10.69,-18.51,机械基础件
58,300946,恒而达,5.01,9.08,-10.35,-15.63,金属制品
59,301309,万得凯,5.01,6.34,-8.41,-8.95,金属制品
61,001256,炜冈科技,4.99,5.85,-8.63,-11.05,印刷包装机械
62,688197,首药控股-U,4.98,18.93,-12.52,-20.78,化学制剂
63,300930,屹通新材,4.93,5.72,-12.07,-17.53,其他金属新材料
65,300479,神思电子,4.7,24.08,-7.43,-14.01,其他IT设备
66,605177,东亚药业,4.63,12.58,-10.12,-15.71,原料药
67,301086,鸿富瀚,4.49,7.96,-12.45,-21.88,消费电子组件
70,300824,北鼎股份,4.33,9.73,-9.2,-9.4,厨房小家电
71,603685,晨丰科技,4.32,8.07,-6.98,-9.86,LED
73,688383,新益昌,4.15,23.59,-10.13,-24.85,其他专用设备
74,600727,鲁北化工,4.06,19.58,-7.69,-11.69,钛白粉
80,603610,麒盛科技,3.57,17.8,-14.77,-4.68,家具
83,688103,国力股份,3.54,21.67,-13.81,-25.37,配电设备
84,002780,三夫户外,3.48,14.21,-14.52,-11.59,运动服装
85,000599,青岛双星,3.42,21.5,-13.35,-13.71,轮胎轮毂
87,002891,中宠股份,3.37,30.89,-11.58,-12.9,宠物食品
88,603421,鼎信通讯,3.33,22.96,-5.4,-12.77,其他通信设备
89,300250,初灵信息,3.28,21.44,-7.39,-14.45,行业应用软件
90,002207,准油股份,3.28,11.48,-7.35,-12.13,油田服务
91,300787,海能实业,3.22,11.52,-12.99,-21.0,消费电子组件
92,300314,戴维医疗,3.19,11.82,-10.68,-19.56,医疗设备
93,002590,万安科技,3.18,22.05,-10.52,-7.49,底盘与发动机系统
95,000151,中成股份,3.15,21.02,24.76,14.71,贸易
96,600620,天宸股份,3.13,28.18,-1.99,-4.92,综合类
97,301186,超达装备,3.08,6.16,-11.27,-16.11,其他专用设备
99,300771,智莱科技,3.0,13.6,-13.65,-18.83,其他IT设备
100,300659,中孚信息,2.99,22.64,-12.66,-20.58,基础软件
103,600805,悦达投资,2.94,25.53,-7.15,-18.46,综合类
106,688519,南亚新材,2.8,14.35,-20.29,-25.48,PCB
108,605169,洪通燃气,2.71,7.21,-10.6,-15.87,燃气
109,002630,华西能源,2.69,23.07,-7.66,-15.19,其他发电设备
112,603332,苏州龙杰,2.61,8.17,-10.6,-31.87,涤纶
113,688020,方邦股份,2.59,13.04,-17.71,-26.96,PCB
116,002879,长缆科技,2.54,16.05,-11.25,-15.26,线缆部件及其他
117,300713,英可瑞,2.53,8.54,-12.8,-19.72,其他发电设备
120,301192,泰祥股份,2.47,4.87,-13.0,-19.33,底盘与发动机系统
122,301133,金钟股份,2.44,6.92,-11.21,-17.87,车身附件及饰件
124,002846,英联股份,2.41,10.84,-12.65,-18.99,金属包装
125,300991,创益通,2.4,8.91,-14.54,-20.2,消费电子组件
127,688260,昀冢科技,2.4,13.68,-13.89,-25.91,消费电子组件
142,300870,欧陆通,0.34,15.92,4.41,-7.47,其他发电设备
