,代码,名称,fluc_today,流通市值Z,fluc_10day,fluc_20day,细分行业
1,601857,中国石油,-0.71,917.28,15.84,14.56,油气开采
5,600771,广誉远,-0.29,101.49,4.16,-10.54,中药
17,300750,宁德时代,3.02,3507.09,-4.76,-6.93,锂电池
21,603259,药明康德,-1.5,1119.56,-21.68,-20.11,医疗研发外包
68,603338,浙江鼎力,4.37,112.46,-4.99,2.28,工程机械整机
104,300114,中航电测,2.89,102.09,-4.57,-14.29,军工电子
110,601456,国联证券,2.62,103.0,1.91,-5.48,证券
