,代码,名称,fluc_today,流通市值Z,fluc_10day,fluc_20day,细分行业
1,600895,张江高科,10.0,166.94,26.09,18.71,产业地产
2,002611,东方精工,10.04,63.1,89.57,58.11,印刷包装机械
3,002049,紫光国微,3.51,465.77,34.75,25.68,集成电路设计
4,000723,美锦能源,10.06,182.55,25.2,29.05,焦炭加工
5,601127,赛力斯,1.16,652.26,29.7,43.08,综合乘用车
6,000938,紫光股份,0.9,373.1,33.3,25.35,其他IT设备
7,000063,中兴通讯,-0.03,915.82,24.38,20.75,系统设备
8,000628,高新发展,-0.01,121.88,88.69,57.06,房屋建设
9,603019,中科曙光,-1.53,567.6,43.97,39.9,其他IT设备
11,002456,欧菲光,2.45,188.9,19.78,10.15,消费电子组件
14,002639,雪人股份,4.19,47.1,31.17,15.44,制冷空调设备
16,603220,中贝通信,0.95,75.17,45.81,18.77,网络工程施工
17,603960,克来机电,0.0,59.38,73.4,176.93,汽车电子电气系统
18,300735,光弘科技,7.37,79.71,38.08,20.86,消费电子组件
19,600571,信雅达,-3.15,54.98,81.06,30.99,行业应用软件
20,000572,海马汽车,7.66,48.4,43.31,6.13,综合乘用车
21,002281,光迅科技,1.0,140.81,27.45,14.77,网络接配及塔设
22,000670,盈方微,10.05,37.54,38.07,1.35,其他电子
23,002400,省广集团,1.46,84.17,12.41,20.19,互联网广告
61,000935,四川双马,9.45,44.85,12.97,11.31,水泥制造
62,688339,亿华通-U,9.11,51.24,36.42,12.89,燃料电池
65,002338,奥普光电,8.17,42.83,38.67,14.66,军工电子
77,300260,新莱应材,6.19,50.77,44.24,27.03,其他包装
79,000801,四川九洲,6.15,51.97,27.19,11.97,其他黑色家电
87,600996,贵广网络,5.29,47.07,17.58,5.95,广播电视
91,300228,富瑞特装,5.05,46.5,36.56,27.78,其他专用设备
108,600353,旭光电子,4.61,38.25,18.83,2.58,其他电子
112,000977,浪潮信息,4.31,387.68,28.37,16.83,其他IT设备
115,000550,江铃汽车,4.17,45.18,18.18,24.38,商用载货车
144,000980,众泰汽车,0.35,82.45,39.81,10.34,其他汽车零部件
147,002085,万丰奥威,1.26,80.32,19.84,26.09,轮胎轮毂
149,002115,三维通信,0.32,42.99,30.25,-4.53,互联网广告
152,002180,纳思达,3.07,217.09,22.58,21.61,其他IT设备
157,002280,联络互动,2.19,44.01,37.06,2.64,跨境电商
162,002387,维信诺,2.59,75.05,26.38,-1.73,面板
165,002409,雅克科技,1.49,136.22,17.84,13.28,半导体材料
195,300766,每日互动,3.55,45.76,52.77,11.72,行业应用软件
233,603728,鸣志电器,0.35,86.49,43.23,34.53,电机制造
237,603927,中科软,1.21,113.23,14.72,13.85,行业应用软件
