代码,名称,流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
603341,N龙旗,         27.93亿,130.7,--  ,59.99,7489.75,12485,--  ,--  ,33.99,通信终端及配件,59.98,59.99,12485,0,2.68,59.99,59.99,59.99,26,41.27,0,上海,0,59.99,6243,6242
300152,新动力,         23.38亿,20.06,--  ,3.95,8466.51,214342,143.83,46.83,0.66,环保设备,3.94,3.95,214342,0,3.01,3.95,3.95,3.95,3.29,--  ,58.65,河北,0,3.95,107171,107171
301020,密封科技,          9.45亿,19.99,4817.93,21.55,3052.22,14163,65.13,18.6,3.59,机械基础件,21.55,--  ,14163,0,1.94,21.55,21.55,21.55,17.96,44.04,133.52,山东,0,21.55,7082,7081
833751,惠同新材,          5.93亿,17.66,--  ,13.99,1538.31,10996,82.63,53.57,2.1,其他金属新材料,13.98,13.99,10996,0,2.59,13.99,13.99,13.99,11.89,37.74,36.52,湖南,0,13.99,5498,5498
300786,国林科技,         20.33亿,15.77,--  ,15.56,2592.61,16662,66.41,-0.13,2.12,环保设备,15.55,15.56,16662,0,1.16,15.56,15.56,15.56,13.44,--  ,33.34,山东,0,15.56,8331,8331
835985,海泰新能,         10.72亿,11,--  ,7.97,747.09,9374,35.55,11.31,0.79,光伏电池组件,7.97,7.98,9374,0,0.7,7.97,7.97,7.97,7.18,24.06,24.82,河北,0,7.97,4687,4687
600715,文投控股,         20.42亿,10.23,1453.74,1.94,4363.67,224932,52.75,-18.15,0.18,发行院线,1.94,--  ,224932,0,1.21,1.94,1.94,1.94,1.76,--  ,25.14,北京,0,1.94,112466,112466
002211,宏达新材,          9.15亿,10.06,28.17,3.39,1124.21,33163,50,-10.08,0.31,有机硅,3.39,--  ,33163,0,0.77,3.39,3.39,3.39,3.08,--  ,31.69,上海,0,3.39,16582,16581
000723,美锦能源,        182.55亿,10.06,--  ,7.55,13461.88,178303,25.2,29.05,0.69,焦炭加工,7.54,7.55,178303,0,0.45,7.55,7.55,7.55,6.86,60.33,59.05,山西,0,7.55,89152,89151
000670,盈方微,         37.54亿,10.05,59,6.02,3924.96,65199,38.07,1.35,0.55,其他电子,6.02,--  ,65199,0,0.9,6.02,6.02,6.02,5.47,--  ,45.88,湖北,0,6.02,32600,32599
603798,康普顿,         13.67亿,10.05,219060.35,11.06,379.01,3427,64.83,1,1.01,其他石化,11.06,--  ,3427,0,0.13,11.06,11.06,11.06,10.05,44.22,5.57,山东,0,11.06,1714,1713
002611,东方精工,         63.10亿,10.04,124660.08,8,3436.4,42955,89.57,58.11,0.73,印刷包装机械,8,--  ,42955,0,0.42,8,8,8,7.27,27.38,15.24,广东,0,8,21478,21477
600753,庚星股份,         10.55亿,10.04,9099.82,8.11,734.36,9055,53.31,-9.18,0.74,贸易,8.11,--  ,9055,0,0.42,8.11,8.11,8.11,7.37,--  ,31.05,福建,0,8.11,4528,4527
002418,康盛股份,         22.53亿,10.04,10632.84,2.74,1699.76,62035,43.46,5.39,0.25,家电零部件,2.74,--  ,62035,0,0.55,2.74,2.74,2.74,2.49,82.16,42.6,浙江,0,2.74,31018,31017
603327,福蓉科技,         20.41亿,10.03,27964.57,12.61,268.21,2127,39.03,13.5,1.15,消费电子组件,12.61,--  ,2127,0,0.03,12.61,12.61,12.61,11.46,26.15,7.97,四川,0,12.61,1064,1063
603607,京华激光,         13.32亿,10.03,--  ,14.81,2188.18,14775,38.93,1.58,1.35,其他包装,14.8,14.81,14775,0,0.83,14.81,14.81,14.81,13.46,34.06,40.22,浙江,0,14.81,7388,7387
603109,神驰机电,         15.99亿,10.02,19789.61,22.17,8350.56,37666,72.66,43.12,2.02,其他发电设备,22.17,--  ,37666,0,1.81,22.17,22.17,22.17,20.15,18.79,68.43,重庆,0,22.17,18833,18833
002733,雄韬股份,         34.24亿,10.01,--  ,14.83,2121.28,14304,26.43,7.62,1.35,燃料电池,14.82,14.83,14304,0,0.39,14.83,14.83,14.83,13.48,24.4,48.27,深圳,0,14.83,7152,7152
600895,张江高科,        166.94亿,10,--  ,21.89,40199.67,183644,26.09,18.71,1.99,产业地产,21.88,21.89,183644,0,1.19,21.89,21.89,21.89,19.9,33.29,75.8,上海,0,21.89,91822,91822
600678,四川金顶,         21.36亿,10,173849.68,7.7,671.9,8726,92.02,15.27,0.7,水泥制造,7.7,--  ,8726,0,0.25,7.7,7.7,7.7,7,--  ,4.34,四川,0,7.7,4363,4363
600218,全柴动力,         24.55亿,10,11897.46,8.58,855.94,9976,35.97,3,0.78,内燃机,8.58,--  ,9976,0,0.24,8.58,8.58,8.58,7.8,37.87,16.7,安徽,0,8.58,4988,4988
000586,汇源通信,         15.12亿,10,592.15,12.98,4413.2,34000,92.02,18.33,1.18,光纤光缆,12.98,--  ,34000,0,1.76,12.98,12.98,12.98,11.8,97.17,61.74,四川,0,12.98,17000,17000
002875,安奈儿,         16.75亿,9.99,30156.63,15.97,488.04,3056,83.98,24.67,1.45,非运动服装,15.97,--  ,3056,0,0.18,15.97,15.97,15.97,14.52,--  ,10.48,深圳,0,15.97,1528,1528
600860,京城股份,         25.14亿,9.98,--  ,13.78,8274.75,60049,62.69,20.04,1.25,金属制品,13.77,13.78,60049,0,1.4,13.78,13.78,13.78,12.53,--  ,50.31,北京,0,13.78,30025,30024
601133,柏诚股份,         15.77亿,9.97,17006.99,12.13,959.97,7914,30.01,2.45,1.1,其他专业工程,12.13,--  ,7914,0,0.61,12.13,12.13,12.13,11.03,31.73,32.27,江苏,0,12.13,3957,3957
002209,达 意 隆,         13.41亿,9.97,51469.65,11.25,358.65,3188,78.28,19.04,1.02,印刷包装机械,11.25,--  ,3188,0,0.21,11.25,11.25,11.25,10.23,35.16,6.07,广东,0,11.25,1594,1594
603273,天元智能,         13.63亿,9.95,--  ,25.97,4078.07,15703,66.9,23.37,2.35,其他专用设备,25.96,25.97,15703,0,2.99,25.97,25.97,25.97,23.62,91.96,26.27,江苏,0,25.97,7852,7851
