代码,名称(57),流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
300146,汤臣倍健,        163.98亿,0.76,--  ,17.22,15172.25,1303,2.87,2.99,0.13,保健品,17.21,17.22,88857,-0.05,0.79,17.1,17.25,16.93,17.09,11.55,0.79,广东,1.87,17.07,47380,41477
603108,润达医疗,         85.61亿,6.84,--  ,23.26,111052.7,5813,16.77,46.11,1.49,医药流通,23.26,23.27,480822,-0.03,8.05,23,23.9,22.35,21.77,36.76,1.17,上海,7.12,23.1,229360,251462
000977,浪潮信息,        421.08亿,5.95,--  ,42.36,652581.84,27634,-1.92,27.59,2.38,其他IT设备,42.36,42.37,1577744,0.57,10.73,40.15,42.4,40,39.98,59.46,1.47,山东,6,41.36,690615,887129
000628,高新发展,        143.68亿,4.17,--  ,87,525884.47,11252,8.34,102.23,3.48,房屋建设,87,87.01,607535,-0.66,31.63,83,90.21,82.28,83.52,90.54,1.24,四川,9.49,86.56,271741,335793
600580,卧龙电驱,        115.98亿,9.97,11317.53,14.45,52926.29,2177,31.36,39.08,1.31,电机制造,14.45,--  ,371971,0,2.84,13.8,14.45,13.79,13.14,15.38,0.53,浙江,5.02,14.23,222594,149377
600418,江淮汽车,        295.68亿,9.98,3928.72,18.85,397861.61,11362,22.64,43.78,1.71,商用载货车,18.85,--  ,2174899,0.05,9.96,17.6,18.85,17.6,17.14,167.87,1.77,安徽,7.29,18.29,901205,1273694
600309,万华化学,       1308.71亿,0.89,--  ,78.99,80877,1712,3.74,5.87,0.7,聚氨酯,78.98,78.99,102679,0.09,0.33,78.3,79.26,77.77,78.29,14.64,0.87,山东,1.9,78.77,43785,58894
603019,中科曙光,        618.04亿,1.6,--  ,53.3,623533.31,13173,-1.15,42.51,0.84,其他IT设备,53.29,53.3,1177212,0.13,8.09,52.3,53.71,51.98,52.46,77.98,1,天津,3.3,52.97,557777,619435
600498,烽火通信,        133.34亿,10,12665.43,20.35,123260.36,1621,4.47,32.66,1.85,系统设备,20.35,--  ,623819,0,5.43,18.72,20.35,18.7,18.5,55.21,2.16,湖北,8.92,19.76,278738,345081
001979,招商蛇口,        259.06亿,1.28,--  ,9.52,64609.29,6035,6.73,6.25,0.12,住宅开发,9.52,9.53,686468,0.11,0.89,9.4,9.6,9.22,9.4,17.16,0.94,深圳,4.04,9.41,339862,346606
002611,东方精工,         64.45亿,9.95,14990.3,8.4,192026.57,1450,16.34,95.35,0.76,印刷包装机械,8.4,--  ,2348444,0,23.62,7.8,8.4,7.8,7.64,28.25,1.06,广东,7.85,8.18,933036,1415408
300709,精研科技,         49.47亿,2.45,--  ,38.45,126921.29,3590,21.87,63.76,0.92,消费电子组件,38.45,38.46,336406,0.13,22.6,36.96,38.81,36.58,37.53,46.03,0.84,江苏,5.94,37.73,168825,167581
603879,永悦科技,         17.42亿,10.07,18998.57,7.87,1856.93,51,79.68,114.44,0.72,合成树脂,7.87,--  ,23595,0,0.66,7.87,7.87,7.87,7.15,--  ,0.05,江苏,0,7.87,20044,3551
601012,隆基绿能,       1293.72亿,1.21,--  ,21.67,233692.72,24039,0.65,7.33,0.26,光伏硅片,21.67,21.68,1085902,0.14,1.43,21.44,21.67,21.31,21.41,10.53,0.76,陕西,1.68,21.52,506421,579481
601901,方正证券,        335.31亿,10.01,8607.09,8.24,339486.52,6088,5.1,19.25,0.75,证券,8.24,--  ,4192815,0,5.09,7.67,8.24,7.65,7.49,26.28,4.6,湖南,7.88,8.1,2079980,2112835
601088,中国神华,        984.55亿,-1.47,--  ,36.76,141512.2,3785,-5.72,-7.66,-0.55,动力煤,36.76,36.77,386241,-0.02,0.23,36.85,36.94,36.38,37.31,11.35,0.88,北京,1.5,36.64,223855,162386
000917,电广传媒,         82.21亿,9.95,6090.28,6.96,170262.25,995,32.32,43.8,0.63,广播电视,6.96,--  ,2474081,0,17.46,6.96,6.96,6.54,6.33,92.79,3.7,湖南,6.64,6.88,1364295,1109786
300735,光弘科技,        104.41亿,5.6,--  ,29.21,320712.24,12766,24.03,75.54,1.55,消费电子组件,29.2,29.21,1115277,-0.02,14.81,28.3,29.95,27.7,27.66,70.78,1.28,广东,8.13,28.76,546729,568548
000625,长安汽车,        816.94亿,6.36,--  ,17.9,564317.03,39385,21.85,32.79,1.07,综合乘用车,17.9,17.91,3194581,0,3.89,17.1,17.98,17.08,16.83,13.47,1.04,重庆,5.35,17.66,1538839,1655742
603283,赛腾股份,         95.34亿,5.45,--  ,90.54,124151.19,2053,25.06,37.35,4.68,工业控制设备,90.54,90.55,138964,0.48,7.47,85.86,91.5,85.86,85.86,34.07,0.97,江苏,6.57,89.34,64486,74478
300474,景嘉微,        202.88亿,-0.27,--  ,89.76,275902.52,5270,32.72,52.39,-0.24,军工电子,89.75,89.76,305957,-0.15,9.56,89,92.3,88,90,1976.83,0.83,湖南,4.78,90.18,155040,150917
600298,安琪酵母,        167.32亿,0.26,--  ,31.41,21376.25,774,-5.11,-6.1,0.08,调味品,31.41,31.42,68503,-0.02,0.79,31.38,31.52,31.01,31.33,22.45,0.87,湖北,1.63,31.2,36786,31717
600006,东风汽车,         66.38亿,10.05,14428.29,8.32,76272.01,787,39.83,49.37,0.76,商用载货车,8.32,--  ,942231,0,4.71,7.8,8.32,7.73,7.56,334.54,0.78,湖北,7.8,8.09,446642,495589
002463,沪电股份,        419.91亿,5.13,--  ,33.01,258104.09,5521,16.48,20.08,1.61,PCB,33.01,33.02,786774,0.06,4.12,31.42,34.32,31.27,31.4,49.57,0.98,江苏,9.71,32.81,397993,388781
300502,新易盛,        476.94亿,3.14,--  ,79.4,596773.12,5681,14.33,20.52,2.42,网络接配及塔设,79.4,79.41,748656,0.05,12.12,77,82.18,76.32,76.98,98.42,1.42,四川,7.61,79.71,374989,373667
300206,理邦仪器,         32.66亿,19.96,3435.54,12.56,49596.19,1182,30.83,39.25,2.09,医疗设备,12.56,--  ,423645,0,12.44,10.45,12.56,10.39,10.47,23.14,3.93,深圳,20.73,11.71,184532,239113
600733,北汽蓝谷,        266.64亿,4.09,--  ,8.4,512188.93,80761,38.39,93.1,0.33,电动乘用车,8.4,8.41,6143491,0.12,13.53,8.07,8.56,8.02,8.07,--  ,1.09,北京,6.69,8.34,2834029,3309462
603580,艾艾精工,         10.45亿,10.01,4799.06,24.51,60437.85,239,159.37,192.48,2.23,其他塑料制品,24.51,--  ,264126,0,20.21,24.51,24.51,20.14,22.28,635.41,1.53,上海,19.61,22.88,135684,128442
603327,福蓉科技,         28.41亿,10.03,6336.25,17.55,93472.52,866,26.53,81.87,1.6,消费电子组件,17.55,--  ,563539,0,8.32,15.98,17.55,15.66,15.95,36.4,0.87,四川,11.85,16.59,266455,297084
600839,四川长虹,        222.86亿,3.28,--  ,6.29,351609.04,73578,8.82,38.24,0.2,电视,6.29,6.3,5662856,-0.31,12.27,6.2,6.55,6.03,6.09,45.48,1.51,四川,8.54,6.21,2609919,3052937
600160,巨化股份,        277.21亿,4.35,--  ,22.05,193824.2,4025,8.04,19.9,0.92,氟化工,22.04,22.05,893249,0.27,3.31,21.69,22.46,20.92,21.13,59.79,1.93,浙江,7.29,21.7,455600,437649
603083,剑桥科技,        106.31亿,0.44,--  ,49.97,203639.46,6066,2.88,7.74,0.22,通信终端及配件,49.97,49.98,408969,0.1,15.6,49.25,50.43,48.99,49.75,83.54,1.04,上海,2.89,49.79,209087,199882
002559,亚威股份,         54.12亿,9.98,8972.78,11.79,105527.92,1470,10.5,47.74,1.07,机床制造,11.79,--  ,922250,0,18.43,10.72,11.79,10.61,10.72,48.34,1.06,江苏,11.01,11.44,490391,431858
600843,上工申贝,         20.37亿,10.02,8893.42,5.6,11609.5,168,23.89,35.92,0.51,纺织服装设备,5.6,--  ,213132,0,4.54,5.14,5.6,5.14,5.09,32.06,0.38,上海,9.04,5.45,125229,87903
002347,泰尔股份,         19.60亿,10.07,20469.7,5.9,4578.15,231,35.94,59.03,0.54,机械基础件,5.9,--  ,77596,0,1.57,5.9,5.9,5.9,5.36,--  ,0.14,安徽,0,5.9,60447,17149
603011,合锻智能,         32.46亿,9.99,15124.9,10.13,4736.02,764,33.11,83.18,0.92,机床制造,10.13,--  ,46752,0,0.95,10.13,10.13,10.13,9.21,50.7,0.1,安徽,0,10.13,41699,5053
603716,塞力医疗,         13.75亿,9.99,4195.59,8.81,5866.74,1008,14.86,36.8,0.8,医药流通,8.81,--  ,67039,0,3.33,8.16,8.81,8.16,8.01,--  ,0.52,湖北,8.11,8.75,53824,13215
300411,金盾股份,         25.26亿,16.94,--  ,11.46,94457.06,10442,115.82,158.69,1.66,其他通用设备,11.46,11.47,874869,0.09,32.37,9.7,11.63,9.6,9.8,160.03,1,浙江,20.71,10.8,365340,509529
002682,龙洲股份,         21.37亿,10.06,6472.84,5.36,20463.49,235,16.78,41.8,0.49,供应链服务,5.36,--  ,393403,0,7,4.94,5.36,4.94,4.87,--  ,0.92,福建,8.62,5.2,225394,168009
603261,立航科技,         11.49亿,9.99,3620.98,43.7,63890.76,1169,85.8,108.1,3.97,航空装备,43.7,--  ,153653,2.01,58.43,39.53,43.7,39.53,39.73,1370.71,1.21,四川,10.5,41.58,75271,78382
002340,格林美,        303.42亿,6.71,--  ,6.52,322257.31,44461,21.87,27.84,0.41,电池化学品,6.51,6.52,4957633,0,9.75,6.39,6.7,6.31,6.11,45.86,3.56,深圳,6.38,6.5,2161350,2796283
002607,中公教育,        142.79亿,10.1,10914.53,3.38,141908.51,25180,0.9,2.74,0.31,教育培训,3.38,--  ,4393588,0,9.03,3.07,3.38,3.06,3.07,64.59,1.9,安徽,10.42,3.23,1842162,2551426
003004,声迅股份,          8.35亿,10.02,3994.59,26.47,13162.31,33,24.16,58.41,2.41,安防设备,26.47,--  ,50479,0,7.26,25.87,26.47,25.3,24.06,--  ,1.24,北京,4.86,26.07,28849,21630
000710,贝瑞基因,         19.87亿,10.05,5217.83,8.98,10524.84,2018,4.78,29.21,0.82,诊断服务,8.98,--  ,119287,0,3.92,8.35,8.98,8.35,8.16,--  ,1.09,四川,7.72,8.82,82655,36632
数据来源:通达信,,,,,,,,,,,,,,,,,,,,,,,,,,,
