代码,名称(57),流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
603259,药明康德,       1152.84亿,4.09,--  ,53.41,973101.57,23997,-10.98,6.71,2.1,医疗研发外包,53.4,53.41,1913967,0.41,7.46,51.2,53.44,48.8,51.31,14.65,1.48,江苏,9.04,50.84,919334,994633
515400,大数据ETF,--  ,2.16,--  ,0.756,9752.12,10,-1.05,14.89,0.016,,0.755,0.756,1306999,0.4,6.65,0.742,0.756,0.736,0.74,--  ,1.06,富国基金,2.7,0.746,482577,824422
601127,赛力斯,        734.74亿,6.41,--  ,104.76,798790.81,6736,13.07,41.28,6.31,综合乘用车,104.75,104.76,764693,-0.03,5.06,103,106.66,102.87,98.45,--  ,1.08,重庆,3.85,104.46,343314,421379
002085,万丰奥威,        145.24亿,9.98,24030.37,13.11,188653.21,1064,78.85,103.57,1.19,轮胎轮毂,13.11,--  ,1484057,0,6.99,12.29,13.11,12.2,11.92,38.92,0.45,浙江,7.63,12.71,674982,809075
002456,欧菲光,        237.25亿,7.25,--  ,10.5,452636.88,38104,18.11,46.44,0.71,消费电子组件,10.49,10.5,4429706,0.1,13.68,9.86,10.71,9.81,9.79,--  ,1.52,深圳,9.19,10.22,1925538,2504167
601138,工业富联,        828.09亿,8.36,--  ,25.01,1043364.15,37914,13.58,44.82,1.93,消费电子组件,25,25.01,4248136,-0.11,2.14,23.45,25.3,23.36,23.08,23.61,1.04,深圳,8.41,24.56,1975951,2272185
002273,水晶光电,        164.36亿,8.17,--  ,14.16,227048.88,18262,21.03,33.46,1.07,光学元件,14.16,14.17,1591188,0.07,11.72,14.4,14.4,13.92,13.09,33.73,3.97,浙江,3.67,14.27,1006921,584267
002594,比亚迪,       1785.00亿,4.09,--  ,218.03,425088.59,1665,15.2,18.82,8.56,电动乘用车,218.02,218.03,196982,0,1.69,211.85,218.25,211.61,209.47,22.28,0.93,深圳,3.17,215.8,84683,112299
300750,宁德时代,       4619.41亿,5.5,--  ,190.96,922918.91,3951,16.51,19.28,9.96,锂电池,190.96,190.97,483052,-0.01,1.24,190.04,193.76,188.95,181,19.04,1.01,福建,2.66,191.06,238816,244236
300308,中际旭创,       1089.78亿,1.48,--  ,179.99,599284.07,2735,8.65,18.1,2.63,网络接配及塔设,179.99,180,329936,0.13,4.4,178.75,186.08,177.59,177.36,83.63,0.96,山东,4.79,181.64,166957,162979
600381,青海春天,         19.86亿,-10.05,39334.65,5.91,5231.12,3973,0.68,9.85,-0.66,保健品,--  ,5.91,88513,0,1.51,5.91,5.91,5.91,6.57,--  ,0.5,青海,0,5.91,7026,81487
301230,泓博医药,         18.59亿,19.99,5822.03,44.84,55495.48,82,55.37,68.83,7.47,医疗研发外包,44.84,--  ,129804,0,21.86,40.9,44.84,40.9,37.37,78.79,1.43,上海,10.54,42.75,66320,63484
688256,寒武纪-U,        391.52亿,13.75,--  ,195.03,318278.96,1370,9.94,45.51,23.58,集成电路设计,195.03,195.05,170814,-0.01,4.1,173.58,197.66,172.03,171.45,--  ,1.62,北京,14.95,186.33,75521,95293
