代码,名称,流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
000524,岭南控股,         17.20亿,10.04,3063.97,9.1,25715.11,1504,22.15,26.74,0.83,旅游服务,9.1,--  ,296046,0,4.42,8.29,9.1,8.24,8.27,79.86,1.57,广东,10.4,8.69,129627,166419
000571,新大洲A,         17.89亿,9.93,3198.55,3.1,15905.36,824,31.36,40.91,0.28,动力煤,3.1,--  ,533221,0,6.55,2.85,3.1,2.71,2.82,--  ,3.54,海南,13.83,2.98,326890,206331
000599,青岛双星,         24.39亿,9.95,3858.58,4.64,16004.93,462,24.73,43.65,0.42,轮胎轮毂,4.64,--  ,348737,0,4.27,4.26,4.64,4.26,4.22,--  ,2.04,山东,9,4.59,188650,160087
000677,恒天海龙,         16.87亿,10.15,3244.86,2.93,9243.33,346,22.59,37.56,0.27,涤纶,2.93,--  ,326473,0,3.78,2.66,2.93,2.64,2.66,47.66,0.79,山东,10.9,2.83,190494,135979
000710,贝瑞基因,         19.87亿,10.05,5217.83,8.98,10524.84,2018,4.78,29.21,0.82,诊断服务,8.98,--  ,119287,0,3.92,8.35,8.98,8.35,8.16,--  ,1.09,四川,7.72,8.82,82655,36632
000889,ST中嘉,         11.32亿,4.79,488.14,1.75,3677.81,420,2.94,8.7,0.08,网络优化运维,1.75,--  ,215921,0,2.48,1.67,1.75,1.66,1.67,--  ,1.21,河北,5.39,1.7,75115,140806
000917,电广传媒,         82.21亿,9.95,6090.28,6.96,170262.25,995,32.32,43.8,0.63,广播电视,6.96,--  ,2474081,0,17.46,6.96,6.96,6.54,6.33,92.79,3.7,湖南,6.64,6.88,1364295,1109786
001309,德明利,         56.90亿,10,11174.38,111.21,38014,40,20.59,56.92,10.11,集成电路设计,111.21,--  ,35525,0,5.3,103.23,111.21,100.55,101.1,503.8,1.07,深圳,10.54,107.01,15699,19826
001896,豫能控股,         28.17亿,10,3811.74,4.84,33267.55,792,30.11,39.08,0.44,火力发电,4.84,--  ,696419,0,5.27,4.4,4.84,4.4,4.4,--  ,0.9,河南,10,4.78,402241,294178
002058,威尔泰,         10.41亿,9.99,2047.2,12,15951.1,99,10.6,26.72,1.09,电工仪器,12,--  ,135667,0,9.48,10.88,12,10.86,10.91,--  ,3.81,上海,10.45,11.76,76711,58956
