代码,名称,流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
002177,御银股份,         24.39亿,10.09,31970.38,3.82,2224.58,58235,36.91,-4.5,0.35,商业物业经营,3.82,--  ,58235,0,0.77,3.82,3.82,3.82,3.47,175.68,30.87,广东,0,3.82,29118,29117
002875,安奈儿,         15.23亿,10,18525.2,14.52,1429.78,9847,83.8,18.54,1.32,非运动服装,14.52,--  ,9847,0,0.57,14.52,14.52,14.52,13.2,--  ,30.43,深圳,0,14.52,4924,4923
002209,达 意 隆,         12.20亿,10,34619.14,10.23,991.49,9692,77.61,11.08,0.93,印刷包装机械,10.23,--  ,9692,0,0.63,10.23,10.23,10.23,9.3,31.97,16.5,广东,0,10.23,4846,4846
603109,神驰机电,         14.53亿,9.99,42147.15,20.15,2924.29,14513,72.66,33.26,1.83,其他发电设备,20.15,--  ,14513,0,0.7,20.15,20.15,20.15,18.32,17.08,23.55,重庆,0,20.15,7257,7256
002611,东方精工,         56.40亿,8.17,--  ,7.15,53092.61,742554,80.56,45.92,0.54,印刷包装机械,7.14,7.15,742554,0,7.31,7.15,7.15,7.15,6.61,24.47,631.52,广东,0,7.15,371277,371277
000676,智度股份,         72.34亿,8.03,--  ,7.53,2196.42,29169,22.64,1.35,0.56,互联网广告,7.53,7.54,29169,0,0.23,7.53,7.53,7.53,6.97,44.19,6.04,广东,0,7.53,14585,14584
600678,四川金顶,         19.03亿,7.86,--  ,6.86,6397.29,93255,77.72,5.22,0.5,水泥制造,6.85,6.86,93255,0,2.67,6.86,6.86,6.86,6.36,--  ,43.16,四川,0,6.86,46628,46627
000586,汇源通信,         13.40亿,7.18,--  ,11.5,1829.42,15908,85.78,11.11,0.77,光纤光缆,11.46,11.5,15908,0,0.82,11.5,11.5,11.5,10.73,86.09,39.77,四川,0,11.5,7954,7954
002377,国创高新,         12.61亿,6.7,--  ,1.91,387.58,20292,30.82,-18.72,0.12,其他建材,1.9,1.91,20292,0,0.22,1.91,1.91,1.91,1.79,--  ,8.11,湖北,0,1.91,10146,10146
000561,烽火电子,         23.36亿,6.67,--  ,7.2,355.46,4937,30.91,2.71,0.45,军工电子,7.16,7.2,4937,0,0.08,7.2,7.2,7.2,6.75,--  ,10.71,陕西,0,7.2,2469,2468
300278,华昌达,         26.56亿,5.66,--  ,3.36,388.35,11558,34.4,1.51,0.18,工业控制设备,3.36,3.37,11558,0,0.09,3.36,3.36,3.36,3.18,52.19,7.08,湖北,0,3.36,5779,5779
688079,美迪凯,         11.22亿,5.54,--  ,8,281.98,3525,30.5,-11.21,0.42,光学元件,7.99,8,3525,0,0.2,8,8,8,7.58,--  ,17.72,浙江,0,8,1763,1762
688155,先惠技术,         14.95亿,5.39,--  ,59,119.74,203,15.34,28.96,3.02,其他专用设备,59,59.4,203,0,0.03,59,59,59,55.98,131.61,7.38,上海,0,59,102,101
600653,申华控股,         24.60亿,5.13,--  ,1.64,225.16,13729,13.11,-2.96,0.08,汽车经销商,1.62,1.64,13729,0,0.07,1.64,1.64,1.64,1.56,--  ,12.98,辽宁,0,1.64,6865,6864
688439,振华风光,         44.69亿,5.11,--  ,80,323.39,404,9.19,1.88,3.89,军工电子,80,80.07,404,0,0.04,80,80,80,76.11,30.25,6.29,贵州,0,80,202,202
605218,伟时电子,         10.86亿,4.94,--  ,18.47,400.61,2169,36.31,-2.33,0.87,LED,18.47,18.48,2169,0,0.1,18.47,18.47,18.47,17.6,44.81,3.38,江苏,0,18.47,1085,1084
603798,康普顿,         11.85亿,4.92,--  ,9.59,1844.19,19230,57.22,-10.37,0.45,其他石化,9.59,9.6,19230,0,0.75,9.59,9.59,9.59,9.14,38.34,29.75,山东,0,9.59,9615,9615
