代码,名称,流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
301262,海看股份,         12.08亿,-1.02,--  ,28.97,88.07,304,-1.63,11.08,-0.3,广播电视,28.97,28.98,304,0,0.07,28.97,28.97,28.97,29.27,31.75,1.06,山东,0,28.97,152,152
000543,皖能电力,         75.70亿,-1.03,--  ,7.72,104.45,1353,2.39,5.03,-0.08,火力发电,7.72,7.73,1353,0,0.01,7.72,7.72,7.72,7.8,10.06,0.85,安徽,0,7.72,677,676
002587,奥拓电子,         31.09亿,-1.03,--  ,6.75,252.92,3747,2.74,28.57,-0.07,LED,6.75,6.76,3747,0,0.07,6.75,6.75,6.75,6.82,594.8,2.59,深圳,0,6.75,1874,1873
300964,本川智能,         10.81亿,-1.03,--  ,36.51,48.19,132,4.28,47.28,-0.38,PCB,36.51,36.53,132,0,0.04,36.51,36.51,36.51,36.89,143.38,0.93,江苏,0,36.51,66,66
601567,三星医疗,        193.18亿,-1.03,--  ,28.8,82.08,285,-1.24,20.75,-0.3,电工仪器,28.8,28.81,285,0,0,28.8,28.8,28.8,29.1,20.47,0.57,浙江,0,28.8,143,142
601600,中国铝业,        522.71亿,-1.03,--  ,6.71,391.8,5839,7.36,13.73,-0.07,铝,6.7,6.71,5839,0,0,6.71,6.71,6.71,6.78,16.13,0.83,北京,0,6.71,2920,2919
836395,朗鸿科技,          3.17亿,-1.04,--  ,11.47,6.42,56,36.38,35.42,-0.12,安防设备,11.47,11.48,56,0,0.02,11.47,11.47,11.47,11.59,23.23,0.31,浙江,0,11.47,28,28
002886,沃特股份,         24.86亿,-1.04,--  ,16.24,165,1016,7.55,20.57,-0.17,改性塑料,16.24,16.25,1016,0,0.05,16.24,16.24,16.24,16.41,208.4,2.68,深圳,0,16.24,508,508
600243,青海华鼎,         13.94亿,-1.04,--  ,3.82,300.67,7871,12.35,18.64,-0.04,楼宇设备,3.82,3.83,7871,0,0.18,3.82,3.82,3.82,3.86,--  ,12.17,青海,0,3.82,3936,3935
300780,德恩精工,         16.17亿,-1.04,--  ,21.93,132.9,606,9.59,74.46,-0.23,机械基础件,21.89,21.93,606,0,0.06,21.93,21.93,21.93,22.16,132.76,0.78,四川,0,21.93,303,303
600984,建设机械,         21.17亿,-1.04,--  ,2.86,93.35,3264,13.94,20.17,-0.03,工程机械整机,2.86,2.88,3264,0,0.03,2.86,2.86,2.86,2.89,--  ,2.09,陕西,0,2.86,1632,1632
300047,天源迪科,         44.90亿,-1.04,--  ,8.55,145.44,1701,2.03,28.96,-0.09,行业应用软件,8.55,8.56,1701,0,0.03,8.55,8.55,8.55,8.64,114.64,0.82,深圳,0,8.55,851,850
002879,长缆科技,         16.54亿,-1.04,--  ,14.25,90.92,638,8.03,19.05,-0.15,线缆部件及其他,14.25,14.28,638,0,0.05,14.25,14.25,14.25,14.4,38.15,4.25,湖南,0,14.25,319,319
000573,粤宏远Ａ,         14.41亿,-1.04,--  ,2.85,55.63,1952,12.21,18.75,-0.03,其他电池,2.85,2.86,1952,0,0.03,2.85,2.85,2.85,2.88,--  ,2.98,广东,0,2.85,976,976
600976,健民集团,         62.05亿,-1.04,--  ,56.01,368.55,658,1.19,2.98,-0.59,中药,56.01,56.04,658,0,0.04,56.01,56.01,56.01,56.6,16.48,4.53,湖北,0,56.01,329,329
001298,好上好,         13.99亿,-1.04,--  ,27.5,165.55,602,4.13,37.71,-0.29,其他电子,27.48,27.5,602,0,0.1,27.5,27.5,27.5,27.79,50.99,1.39,深圳,0,27.5,301,301
300971,博亚精工,         10.96亿,-1.04,--  ,21.8,100.93,463,19.65,36.85,-0.23,机械基础件,21.8,21.81,463,0,0.08,21.8,21.8,21.8,22.03,34.27,1.44,湖北,0,21.8,232,231
002957,科瑞技术,         22.62亿,-1.04,--  ,15.16,85.05,561,8.29,18.16,-0.16,工业控制设备,15.15,15.16,561,0,0.01,15.16,15.16,15.16,15.32,27.04,1.32,深圳,0,15.16,281,280
873576,天力复合,          5.60亿,-1.04,--  ,22.73,8.02,35,-7.64,9.39,-0.24,其他金属新材料,22.73,22.86,35,0,0.01,22.73,22.73,22.73,22.97,26.26,0.51,陕西,0,22.73,18,17
600525,长园集团,         43.11亿,-1.05,--  ,4.73,38.88,822,2.82,13.98,-0.05,输变电设备,4.73,4.77,822,0,0.01,4.73,4.73,4.73,4.78,45.99,2.24,深圳,0,4.73,411,411
300125,聆达股份,         17.40亿,-1.05,--  ,8.51,220.49,2591,5.06,21.92,-0.09,光伏电池组件,8.51,8.52,2591,0,0.1,8.51,8.51,8.51,8.6,203.85,4.56,辽宁,0,8.51,1296,1295
300895,铜牛信息,         21.52亿,-1.05,--  ,32.1,130.33,406,0.38,41.22,-0.34,云基础设施服务,32.1,32.11,406,0,0.05,32.1,32.1,32.1,32.44,--  ,1.18,北京,0,32.1,203,203
600861,北京人力,         41.25亿,-1.05,--  ,19.8,30.69,155,7.26,9.27,-0.21,人力资源服务,19.8,19.86,155,0,0,19.8,19.8,19.8,20.01,24.22,0.6,北京,0,19.8,78,77
301236,软通动力,        280.50亿,-1.05,--  ,52.71,3440.91,6528,10.09,41.66,-0.56,行业应用软件,52.7,52.71,6528,0,0.1,52.71,52.71,52.71,53.27,106.93,2.06,北京,0,52.71,3264,3264
837006,晟楠科技,          4.29亿,-1.05,--  ,14.08,6.48,46,-2.01,2.18,-0.15,航空装备,14.08,14.16,46,0,0.02,14.08,14.08,14.08,14.23,27.35,0.39,江苏,0,14.08,23,23
605399,晨光新材,         15.53亿,-1.06,--  ,14.05,448.9,3195,21.75,29.73,-0.15,有机硅,14.05,14.07,3195,0,0.1,14.05,14.05,14.05,14.2,43.14,7.87,江西,0,14.05,1598,1597
