代码,名称,流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
000005,ST星源,          8.56亿,5.43,478.31,0.97,4037.86,65,32.88,-6.73,0.05,水治理,0.97,--  ,420799,0,3.98,0.92,0.97,0.9,0.92,--  ,1.47,深圳,7.61,0.96,229728,191071
000550,江铃汽车,         43.37亿,10,3254.86,26.4,27035.88,538,12.68,20.49,2.4,商用载货车,26.4,--  ,105113,0,2.03,24.1,26.4,24.06,24,16.93,0.87,江西,9.75,25.72,47312,57801
000554,泰山石油,         19.98亿,9.98,3774.9,5.51,16180.28,954,25.8,-8.17,0.5,石油贸易,5.51,--  ,308291,0,8.5,4.96,5.51,4.93,5.01,84.94,1.04,山东,11.58,5.25,192359,115932
000561,烽火电子,         24.11亿,10.07,3922.67,7.43,8563.93,43,35.09,5.99,0.68,军工电子,7.43,--  ,116946,0,1.94,7.2,7.43,6.95,6.75,--  ,1.06,陕西,7.11,7.32,66496,50450
000572,海马汽车,         44.96亿,10,4234.93,4.18,45319.55,1352,40.74,0.48,0.38,综合乘用车,4.18,--  ,1124742,0,6.85,3.7,4.18,3.69,3.8,--  ,1.41,海南,12.89,4.03,565907,558835
000586,汇源通信,         13.75亿,9.97,3806.09,11.8,23489.16,52,90.63,14.01,1.07,光纤光缆,11.8,--  ,214521,0,11.09,11.5,11.8,10,10.73,88.34,2.23,四川,16.78,10.95,98180,116341
000628,高新发展,        121.90亿,10,5557.15,73.81,572123.9,586,107.62,61.79,6.71,房屋建设,73.81,--  ,799125,0,41.61,67.2,73.81,67.2,67.1,76.82,1.27,四川,9.85,71.59,427885,371240
000637,ST实华,          9.24亿,4.97,792.09,3.17,2131.51,70,15.27,7.82,0.15,其他石化,3.17,--  ,68592,0,1.86,2.98,3.17,2.96,3.02,--  ,0.92,广东,6.95,3.11,29916,38676
000670,盈方微,         34.11亿,10.06,5891.46,5.47,11233.54,390,38.13,-4.04,0.5,其他电子,5.47,--  ,210789,0,2.92,4.96,5.47,4.9,4.97,--  ,0.54,湖北,11.47,5.33,135236,75553
000723,美锦能源,        165.86亿,9.94,12045.95,6.86,79537.49,2875,20.77,19.51,0.62,焦炭加工,6.86,--  ,1207165,0,3.02,6.18,6.86,6.18,6.24,54.82,2,山西,10.9,6.59,669070,538095
000801,四川九洲,         48.96亿,10.04,5737.5,9.43,24685.17,462,18.32,14.16,0.86,其他黑色家电,9.43,--  ,265389,0,2.59,8.71,9.43,8.63,8.57,51.25,0.95,四川,9.33,9.3,192768,72621
000903,云内动力,         29.72亿,9.86,2841.67,2.34,23278.33,1558,35.26,-6.02,0.21,底盘与发动机系统,2.34,--  ,1024101,0,5.33,2.1,2.34,2.09,2.13,--  ,1.44,云南,11.74,2.27,606717,417383
000938,紫光股份,        369.75亿,10,4529.17,22.1,485916.31,7727,37.27,28.19,2.01,其他IT设备,22.1,--  ,2243646,0,7.84,20.1,22.1,20.1,20.09,30.77,1.93,北京,9.96,21.66,972578,1271068
000980,众泰汽车,         82.16亿,9.96,2661.26,2.87,86926.84,2577,42.08,13.89,0.26,其他汽车零部件,2.87,--  ,3162563,0,7.16,2.51,2.87,2.51,2.61,--  ,2.09,浙江,13.79,2.75,1324560,1838003
002049,紫光国微,        449.99亿,10,21411.14,71.59,423078.66,485,35.92,24.37,6.51,集成电路设计,71.59,--  ,600935,0,7.07,65,71.59,64.93,65.08,22.46,2.09,河北,10.23,70.4,342764,258171
