代码,名称(30),流通市值Z,涨幅%,封单额,现价,总金额,现量,10日涨幅%,20日涨幅%,涨跌,细分行业,买价,卖价,总量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘,外盘
603019,中科曙光,        551.48亿,--  ,--  ,47.56,0,0,46.79,42.4,--  ,其他IT设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,47.56,69.58,0,天津,0,47.56,0,0
603960,克来机电,         60.08亿,--  ,--  ,36.93,0,0,112.24,219.74,--  ,汽车电子电气系统,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,36.93,170.02,0,上海,0,36.93,0,0
002611,东方精工,         52.14亿,--  ,--  ,6.61,0,0,63.61,33.54,--  ,印刷包装机械,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,6.61,22.62,0,广东,0,6.61,0,0
002317,众生药业,        103.87亿,--  ,--  ,16.08,0,0,41.05,19.47,--  ,中药,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,16.08,36.82,0,广东,0,16.08,0,0
603109,神驰机电,         13.21亿,--  ,--  ,18.32,0,0,57.12,20.84,--  ,其他发电设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,18.32,15.53,0,重庆,0,18.32,0,0
002209,达 意 隆,         11.09亿,--  ,--  ,9.3,0,0,45.31,4.73,--  ,印刷包装机械,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,9.3,29.07,0,广东,0,9.3,0,0
600640,国脉文化,         45.36亿,--  ,--  ,18.62,0,0,122.46,100,--  ,视频音频媒体,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,18.62,389.77,0,上海,0,18.62,0,0
600678,四川金顶,         17.64亿,--  ,--  ,6.36,0,0,48.25,-0.78,--  ,水泥制造,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,6.36,--  ,0,四川,0,6.36,0,0
603825,华扬联众,         21.41亿,--  ,--  ,15.35,0,0,99.61,57.44,--  ,互联网广告,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,15.35,--  ,0,湖南,0,15.35,0,0
002316,亚联发展,         14.32亿,--  ,--  ,4.92,0,0,65.1,8.37,--  ,其他金融服务,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,4.92,--  ,0,吉林,0,4.92,0,0
600302,标准股份,         10.83亿,--  ,--  ,5.47,0,0,57.64,9.4,--  ,纺织服装设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,5.47,--  ,0,陕西,0,5.47,0,0
002673,西部证券,        185.31亿,--  ,--  ,7.83,0,0,28.57,32.94,--  ,证券,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,7.83,29.96,0,陕西,0,7.83,0,0
000628,高新发展,        110.82亿,--  ,--  ,67.1,0,0,84.59,43.38,--  ,房屋建设,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,67.1,69.83,0,四川,0,67.1,0,0
600053,九鼎投资,         20.70亿,--  ,--  ,18.04,0,0,41.38,3.8,--  ,投资管理,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,18.04,315.3,0,江西,0,18.04,0,0
600860,京城股份,         20.78亿,--  ,--  ,11.39,0,0,42.73,2.61,--  ,金属制品,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,11.39,--  ,0,北京,0,11.39,0,0
001225,和泰机电,          6.80亿,--  ,--  ,42.06,0,0,48.15,20.65,--  ,其他专用设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,42.06,23.89,0,浙江,0,42.06,0,0
600127,金健米业,         34.89亿,--  ,--  ,6.91,0,0,23.17,11.63,--  ,粮油加工,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,6.91,148.99,0,湖南,0,6.91,0,0
002975,博杰股份,         16.66亿,--  ,--  ,37.15,0,0,79.9,19.41,--  ,工业控制设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,37.15,--  ,0,广东,0,37.15,0,0
002423,中粮资本,         63.06亿,--  ,--  ,8.87,0,0,17.48,39.69,--  ,金融控股,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,8.87,16.24,0,河南,0,8.87,0,0
000063,中兴通讯,        840.04亿,--  ,--  ,27.38,0,0,18.63,14.61,--  ,系统设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,27.38,12.53,0,深圳,0,27.38,0,0
002481,双塔食品,         31.41亿,--  ,--  ,4.6,0,0,26.72,16.46,--  ,其他农产品加工,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,4.6,--  ,0,山东,0,4.6,0,0
000586,汇源通信,         12.50亿,--  ,--  ,10.73,0,0,56.64,5.61,--  ,光纤光缆,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,10.73,80.33,0,四川,0,10.73,0,0
002713,东易日盛,         11.91亿,--  ,--  ,6.56,0,0,20.37,19.06,--  ,装修装饰,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,6.56,--  ,0,北京,0,6.56,0,0
002875,安奈儿,         13.85亿,--  ,--  ,13.2,0,0,50.34,11.49,--  ,非运动服装,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,13.2,--  ,0,深圳,0,13.2,0,0
601127,赛力斯,        586.12亿,--  ,--  ,83.57,0,0,35.42,34.9,--  ,综合乘用车,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,83.57,--  ,0,重庆,0,83.57,0,0
002229,鸿博股份,         95.25亿,--  ,--  ,24.78,0,0,47.85,11.42,--  ,印刷,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,24.78,--  ,0,福建,0,24.78,0,0
605151,西上海,          7.44亿,--  ,--  ,19.15,0,0,46.74,12.51,--  ,车身附件及饰件,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,19.15,21.29,0,上海,0,19.15,0,0
301138,华研精机,         10.84亿,--  ,--  ,36.12,0,0,123.1,57.32,--  ,印刷包装机械,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,36.12,65,0,广东,0,36.12,0,0
603895,天永智能,          8.12亿,--  ,--  ,24.22,0,0,64.31,-5.58,--  ,其他专用设备,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,24.22,238.96,0,上海,0,24.22,0,0
000635,英 力 特,         11.85亿,--  ,--  ,8.02,0,0,39.48,-10.99,--  ,氯碱,--  ,--  ,0,--  ,--  ,--  ,--  ,--  ,8.02,--  ,0,宁夏,0,8.02,0,0
数据来源:通达信,,,,,,,,,,,,,,,,,,,,,,,,,,,
