代码,名称,涨幅%,流通市值Z,10日涨幅%,20日涨幅%,细分行业,开盘%,现价,涨跌,封单额,总金额,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,市盈(动),量比,地区,振幅%,均价,内盘
002888,惠威科技,1.35,          9.08亿,-15.9,-32.56,消费电子组件,1.35,17.25,0.23,--  ,42.09,17.2,17.25,244,244,0,0.03,17.25,17.25,17.25,17.02,1612.33,1.26,广东,0,17.25,122
688428,诺诚健华-U,1.35,         25.42亿,-1.41,-11.34,其他生物制药,1.35,9.77,0.13,--  ,2.15,9.63,9.77,22,22,0,0,9.77,9.77,9.77,9.64,--  ,0.22,北京,0,9.77,11
301448,开创电气,1.35,          5.72亿,-10.95,-20.41,其他通用设备,1.35,28.62,0.38,--  ,22.9,28.58,28.62,80,80,0,0.04,28.62,28.62,28.62,28.24,43.04,1.3,浙江,0,28.62,40
603017,中衡设计,1.34,         14.02亿,-9.67,-11.95,工程咨询服务,1.34,9.06,0.12,--  ,2.72,8.98,9.06,30,30,0,0,9.06,9.06,9.06,8.94,19.96,0.21,江苏,0,9.06,15
600572,康恩贝,1.34,         75.67亿,-2.58,-13.05,中药,1.34,4.53,0.06,--  ,153.97,4.53,4.54,3399,3399,0,0.01,4.53,4.53,4.53,4.47,14.01,1.82,浙江,0,4.53,1700
871396,常辅股份,1.34,          2.49亿,-12.62,-46.9,工业控制设备,1.34,10.6,0.14,--  ,2.12,10.38,10.6,20,20,0,0,10.6,10.6,10.6,10.46,27.07,0.33,江苏,0,10.6,10
002461,珠江啤酒,1.34,         26.61亿,-2.95,-4.3,啤酒,1.34,7.58,0.1,--  ,28.43,7.5,7.58,375,375,0,0,7.58,7.58,7.58,7.48,19.56,1.78,广东,0,7.58,188
600227,赤天化,1.33,         24.06亿,-5,-17.09,氮肥,1.33,2.28,0.03,--  ,48.86,2.28,2.29,2143,2143,0,0.02,2.28,2.28,2.28,2.25,--  ,4.25,贵州,0,2.28,1072
603016,新宏泰,1.32,         12.79亿,-11.93,-15.1,配电设备,1.32,19.12,0.25,--  ,7.07,18.74,19.12,37,37,0,0,19.12,19.12,19.12,18.87,41.56,0.94,江苏,0,19.12,19
600857,宁波中百,1.32,         12.43亿,-11.45,-12.91,百货,1.32,8.43,0.11,--  ,6.83,8.26,8.48,81,81,0,0,8.43,8.43,8.43,8.32,20.15,0.66,浙江,0,8.43,41
836239,长虹能源,1.32,          6.88亿,-5.65,-23.87,锂电池,1.32,13.84,0.18,--  ,6.92,13.55,13.84,50,50,0,0.01,13.84,13.84,13.84,13.66,--  ,0.73,四川,0,13.84,25
300689,澄天伟业,1.31,          6.85亿,-11.98,-19.31,通信终端及配件,1.31,15.5,0.2,--  ,6.04,15.48,15.79,39,39,0,0,15.5,15.5,15.5,15.3,106.31,0.67,深圳,0,15.5,20
300774,倍杰特,1.29,         10.65亿,-9.55,-17.45,水治理,1.29,8.61,0.11,--  ,20.49,8.53,8.61,238,238,0,0.02,8.61,8.61,8.61,8.5,20.76,1.83,北京,0,8.61,119
000890,法尔胜,1.28,          9.90亿,-10.81,-26.39,水治理,1.28,3.96,0.05,--  ,11.4,3.94,3.96,288,288,0,0.01,3.96,3.96,3.96,3.91,--  ,0.5,江苏,0,3.96,144
600571,信雅达,1.27,         39.06亿,-8.92,-17.05,行业应用软件,1.27,11.14,0.14,--  ,287.41,11.14,11.18,2580,2580,0,0.06,11.14,11.14,11.14,11,73.21,2.6,浙江,0,11.14,1290
605500,森林包装,1.27,          7.67亿,-9.9,-11.78,纸包装,1.27,7.19,0.09,--  ,3.45,7.1,7.19,48,48,0,0,7.19,7.19,7.19,7.1,23.73,0.26,浙江,0,7.19,24
300259,新天科技,1.27,         20.90亿,-9.86,-13.28,仪器仪表,1.27,3.2,0.04,--  ,6.56,3.18,3.2,205,205,0,0,3.2,3.2,3.2,3.16,20.58,0.55,河南,0,3.2,103
300176,派生科技,1.26,         15.04亿,-13.16,-18.46,底盘与发动机系统,1.26,5.61,0.07,--  ,6.45,5.61,5.63,115,115,0,0,5.61,5.61,5.61,5.54,--  ,0.63,广东,0,5.61,58
003008,开普检测,1.26,          8.18亿,-14.33,-17.63,检测服务,1.26,23.3,0.29,--  ,7.22,23.3,23.33,31,31,0,0.01,23.3,23.3,23.3,23.01,29.87,0.81,河南,0,23.3,16
603269,海鸥股份,1.25,         13.24亿,-14.52,-18.94,其他通用设备,1.25,11.3,0.14,--  ,2.94,11.21,11.3,26,26,0,0,11.3,11.3,11.3,11.16,36.01,0.2,江苏,0,11.3,13
300943,春晖智控,1.25,         11.17亿,-13.67,-20.47,机械基础件,1.25,11.3,0.14,--  ,13.56,11.22,11.3,120,120,0,0.01,11.3,11.3,11.3,11.16,29.95,1.58,浙江,0,11.3,60
001896,豫能控股,1.25,         23.57亿,-2.65,-9.19,火力发电,1.25,4.05,0.05,--  ,27.3,4.02,4.05,674,674,0,0.01,4.05,4.05,4.05,4,--  ,1.29,河南,0,4.05,337
832171,志晟信息,1.24,          2.83亿,-10.32,-28.34,行业应用软件,1.24,8.95,0.11,--  ,23.43,8.94,8.95,262,262,0,0.04,8.95,8.95,8.95,8.84,--  ,0.83,河北,0,8.95,131
601886,江河集团,1.24,         24.36亿,7.03,-3.96,装修装饰,1.24,6.55,0.08,--  ,17.29,6.55,6.56,264,264,0,0,6.55,6.55,6.55,6.47,13.95,0.29,北京,0,6.55,132
000514,渝 开 发,1.23,         12.58亿,-3.11,-1.46,住宅开发,1.23,4.05,0.05,--  ,0,4.1,4.1,0,0,--  ,--  ,--  ,--  ,--  ,4.05,--  ,0.73,重庆,0,4.05,0
603177,德创环保,1.23,          8.38亿,-9.29,-20.85,大气治理,1.23,9.87,0.12,--  ,12.34,9.87,9.9,125,125,0,0.01,9.87,9.87,9.87,9.75,--  ,0.96,浙江,0,9.87,63
688671,碧兴物联,1.22,          4.55亿,-12.44,-19.18,环境监测,1.22,27.4,0.33,--  ,2.19,27,27.4,8,8,0,0,27.4,27.4,27.4,27.07,90.16,0.26,深圳,0,27.4,4
002806,华锋股份,1.22,         12.69亿,-15.65,-25.88,其他汽车零部件,1.22,9.97,0.12,--  ,9.87,9.97,9.99,99,99,0,0.01,9.97,9.97,9.97,9.85,--  ,0.45,广东,0,9.97,50
603300,华铁应急,1.21,         89.07亿,-3.94,-7.73,租赁,1.21,5.85,0.07,--  ,42.7,5.84,5.85,730,730,0,0,5.85,5.85,5.85,5.78,15.3,0.97,浙江,0,5.85,365
002031,巨轮智能,1.21,         58.66亿,-6.42,-19.66,其他专用设备,1.21,3.35,0.04,--  ,240.83,3.35,3.36,7189,7189,0,0.04,3.35,3.35,3.35,3.31,--  ,2.42,广东,0,3.35,3595
