SecurityId,SecurityName,Accounts,BuyPriceType,BuyPrice,BuyPriceFactor,BuyVolume,SellPriceType,SellPrice,SellPriceFactor,SellVolume,Tag_A,Tag_B
s-601857,中国石油,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-600771,广誉远,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-603259,药明康德,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-603338,浙江鼎力,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
s-601456,国联证券,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
